,speaker,background,speech,type,gender,debate,day,order,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment
4416,Elizabeth Warren,,"When I made the decision to run for president, I certainly didn't think it was going to be about impeachment. But when the Mueller report came out, I read it, all 442 pages. And when I got to the end, I realized that Mueller had shown, too, a fare-thee-well, that this president had obstructed justice and done it repeatedly. And so at that moment, I called for opening an impeachment inquiry.",Candidate,female,4,1,9,Mueller;Mueller;,,,,,,0.21428571428571427
4417,Elizabeth Warren,,"Now, that didn't happen. And look what happened as a result. Donald Trump broke the law again in the summer, broke it again this fall. You know, we took a constitutional oath, and that is that no one is above the law, and that includes the president of the United States.",Candidate,female,4,1,10,Donald Trump;,,the United States;,,,,0.0
4418,Elizabeth Warren,,"Impeachment is the way that we establish that this man will not be permitted to break the law over and over without consequences. This is about Donald Trump, but, understand, it's about the next president and the next president and the next president and the future of this country. The impeachment must go forward.",Candidate,female,4,1,11,Donald Trump;,,,,,,0.0
4420,Bernie Sanders,,"No, they don't. In my judgment, Trump is the most corrupt president in the history of this country. It's not just that he obstructed justice with the Mueller Report. I think that the House will find him guilty of - worthy of impeachment because of the emoluments clause. This is a president who is enriching himself while using the Oval Office to do that, and that is outrageous.",Candidate,male,4,1,13,,the Oval Office;House;the Mueller Report;Trump;,,,,,-0.23333333333333334
4421,Bernie Sanders,,"And I think in terms of the recent Ukrainian incident, the idea that we have a president of the United States who is prepared to hold back national security money to one of our allies in order to get dirt on a presidential candidate is beyond comprehension. So I look forward, by the way, not only to a speedy and expeditious impeachment process, but Mitch McConnell has got to do the right thing and allow a free and fair trial in the Senate.",Candidate,male,4,1,14,Mitch McConnell;,Senate;,the United States;,Ukrainian;,,,0.23095238095238094
4423,Joe Biden,,"Yes, they have. I said from the beginning that if, in fact, Trump continued to stonewall what the Congress is entitled to know about his background, what he did, all the accusations in the Mueller Report, if they did that, they would have no choice - no choice - but to begin an impeachment proceeding, which gives them more power to seek more information.",Candidate,male,4,1,16,,the Mueller Report;Congress;Trump;,,,,,0.5
4424,Joe Biden,,"This president - and I agree with Bernie, Senator Sanders - is the most corrupt president in modern history and I think all of our history. And the fact is that this president of the United States has gone so far as to say, since this latest event, that, in fact, he will not cooperate in any way at all, will not list any witnesses, will not provide any information, will not do anything to cooperate with the impeachment. They have no choice but to move.",Candidate,male,4,1,17,Sanders;Bernie;,,the United States;,,,,0.16
4426,Kamala Harris,,"Well, it's just being observant, because he has committed crimes in plain sight. I mean, it's shocking, but he told us who he was. Maya Angelou told us years ago, listen to somebody when they tell you who they are the first time.",Candidate,female,4,1,19,Maya Angelou;,,,,,,-0.3191964285714286
4427,Kamala Harris,,"During that election, Donald Trump told us he could shoot somebody on Fifth Avenue and get away with it. And he has consistently since he won been selling out the American people. He's been selling out working people. He's been selling out our values. He's been selling out national security. And on this issue with Ukraine, he has been selling out our democracy.",Candidate,female,4,1,20,Donald Trump;,,Ukraine;,American;,,,0.125
4428,Kamala Harris,,"Our framers imagined this moment, a moment where we would have a corrupt president. And our framers then rightly designed our system of democracy to say there will be checks and balances. This is one of those moments. And so Congress must act.",Candidate,female,4,1,21,,Congress;,,,,,-0.10714285714285715
4429,Kamala Harris,,"But the reality of it is that I don't really think this impeachment process is going to take very long, because as a former prosecutor, I know a confession when I see it. And he did it in plain sight. He has given us the evidence. And he tried to cover it up, putting it in that special server. And there's been a clear consciousness of guilt. This will not take very long. Donald Trump needs to be held accountable. He is, indeed, the most corrupt and unpatriotic president we have ever had.",Candidate,female,4,1,22,Donald Trump;,,,,,,0.03476190476190477
4431,Cory Booker,,"So, first of all, we must be fair. We are talking about ongoing proceedings to remove a sitting president for office. This has got to be about patriotism and not partisanship.",Candidate,male,4,1,24,,,,,,,0.475
4432,Cory Booker,,"Look, I share the same sense of urgency of everybody on this stage. I understand the outrage that we all feel. But we have to conduct this process in a way that is honorable, that brings our country together, doesn't rip us apart.",Candidate,male,4,1,25,,,,,,,0.0
4433,Cory Booker,,"Anybody who has criticisms about a process that is making all the facts bare before the American public, that works to build consensus, that's what this nation needs, in what is a moral moment and not a political one. So I swore an oath to do my job as a senator, do my duty. This president has violated his. I will do mine.",Candidate,male,4,1,26,,,,American;,,,0.01
4436,Amy Klobuchar,,"We can do two things at once. That's our job. We have a constitutional duty to pursue this impeachment, but we also can stand up for America, because this president has not been putting America in front of his own personal interests.",Candidate,female,4,1,29,,,America;America;,,,,0.3
4437,Amy Klobuchar,,"He has not been standing up for the workers of Ohio. He's not been standing up for the farmers in Iowa. And I take this even a step further. You know, when he made that call to the head of Ukraine, he's digging up dirt on an opponent. That's illegal conduct. That's what he was doing. He didn't talk to him about the Russian invasion. He talked to him about that.",Candidate,female,4,1,30,,,Ukraine;Iowa;Ohio;,Russian;,,,-0.16666666666666666
4438,Amy Klobuchar,,"So I'm still waiting to find out from him how making that call to the head of Ukraine and trying to get him involved in interfering in our election makes America great again. I'd like to hear from him about how leaving the Kurds for slaughter, our allies for slaughter, where Russia then steps in to protect them, how that makes America great again. And I would like to hear from him about how coddling up to Vladimir Putin makes America great again.",Candidate,female,4,1,31,Vladimir Putin;,,America;America;Russia;America;Ukraine;,Kurds;,,,0.8000000000000002
4439,Amy Klobuchar,,"It doesn't make America great again. It makes Russia great again. And that is what this president has done. So whether it is workers' issues, whether it is farmers' issues, he has put his own private interests ...",Candidate,female,4,1,32,,,Russia;America;,,,,0.55
4441,Amy Klobuchar,,... and I will not do that.,Candidate,female,4,1,34,,,,,,,0.0
4443,Julian Castro,,"Not at all. We can walk and chew gun at the same time. And all of us are out there every single day talking about what we're going to do to make sure that more people cross a graduation stage, that more families have great health care, that more folks are put to work in places like Ohio, where Donald Trump has broken his promises, because Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them.",Candidate,male,4,1,36,Donald Trump;,,Pennsylvania;Michigan;Ohio;Ohio;,,,,0.2571428571428572
4444,Julian Castro,,"Not only that, what we have to recognize is that not only did the Mueller Report point out 10 different instances where the president obstructed justice or tried to, and he made that call to President Zelensky of the Ukraine, but he is in ongoingly - in an ongoing way violating his oath of office and abusing his power.",Candidate,male,4,1,37,Zelensky;Mueller;,,Ukraine;,,,,0.0
4445,Julian Castro,,"We have to impeach this president. And the majority of Americans not only support impeachment, they support removal. He should be removed.",Candidate,male,4,1,38,,,,Americans;,,,0.0
4447,Pete Buttigieg,,"Well, it's a mistake on the part of Republicans, who enable the president whose actions are as offensive to their own supposed values as they are to the values that we all share.",Candidate,male,4,1,40,,,,Republicans;,,,0.6
4448,Pete Buttigieg,,"Look, the president has left the Congress with no choice. And this is not just about holding the president accountable, for not just the things emerging in these investigations, but actions that he has confessed to on television. It's also about the presidency itself, because a president 10 years or 100 years from now will look back at this moment and draw the conclusion either that no one is above the law or that a president can get away with anything.",Candidate,male,4,1,41,,Congress;,,,,,0.0
4449,Pete Buttigieg,,"But everyone on this stage, by definition, is competing to be a president for after the Trump presidency. Remember, one way or the other, this presidency is going to come to an end. I want you to picture what it's going to be like, what it's actually going to feel like in this country the first day the sun comes up after Donald Trump has been president.",Candidate,male,4,1,42,Donald Trump;Trump;,,,,,,0.041666666666666664
4450,Pete Buttigieg,,"It starts out feeling like a happy thought; this particular brand of chaos and corruption will be over. But really think about where we'll be: vulnerable, even more torn apart by politics than we are right now. And these big issues from the economy to climate change have not taken a vacation during the impeachment process.",Candidate,male,4,1,43,,,,,,,0.20748299319727895
4451,Pete Buttigieg,,I'm running to be the president who can turn the page and unify a dangerously polarized country while tackling those issues that are going to be just as urgent then as they are now.,Candidate,male,4,1,44,,,,,,,-0.6
4453,Tulsi Gabbard,,"If impeachment is driven by these hyperpartisan interests, it will only further divide an already terribly divided country. Unfortunately, this is what we're already seen play out as calls for impeachment really began shortly after Trump won his election. And as unhappy as that may make us as Democrats, he won that election in 2016.",Candidate,female,4,1,46,,Trump;,,Democrats;,,,-0.2714285714285714
4454,Tulsi Gabbard,,"The serious issues that have been raised around this phone call that he had with the president of Ukraine and many other things that transpired around that are what caused me to support the inquiry in the House. And I think that it should continue to play its course out, to gather all the information, provide that to the American people, recognizing that that is the only way forward.",Candidate,female,4,1,47,,House;,Ukraine;,American;,,,0.008333333333333337
4455,Tulsi Gabbard,,"If the House votes to impeach, the Senate does not vote to remove Donald Trump, he walks out and he feels exonerated, further deepening the divides in this country that we cannot afford.",Candidate,female,4,1,48,Donald Trump;,Senate;House;,,,,,0.0
4458,Tom Steyer,,"Well, Anderson, this is my first time on this stage, so I just want to start by reminding everybody that every candidate here is more decent, more coherent, and more patriotic than the criminal in the White House.",Candidate,male,4,1,51,Anderson;,,,,,,0.2520833333333333
4460,Tom Steyer,,"But I also want to point out that Anderson's right. Two years ago, I started the Need to Impeach movement, because I knew there was something desperately wrong at 1600 Pennsylvania Avenue, that we did have the most corrupt president in the country, and that only the voice and the will of the American people would drag Washington to see it as a matter of right and wrong, not of political expediency. So, in fact, impeaching and removing this president is something that the American people are demanding. They're the voice that counts, and that's who I went to, the American people.",Candidate,male,4,1,53,Anderson;,,Washington;,American;American;American;,,,-0.04404761904761905
4462,Andrew Yang,,"I support impeachment, but we shouldn't have any illusions that impeaching Donald Trump will, one, be successful or, two, erase the problems that got him elected in 2016. We're standing in the great state of Ohio, the ultimate purple state, the ultimate bellwether state.",Candidate,male,4,1,55,Donald Trump;,,Ohio;,,,,0.3875
4463,Andrew Yang,,"Why did Donald Trump win your state by eight points? Because we got rid of 300,000 manufacturing jobs in your towns. And we are not stopping there. How many of you have noticed stores closing where you work and live here in Ohio? Raise your hands.",Candidate,male,4,1,56,Donald Trump;,,Ohio;,,,,0.4787878787878788
4464,Andrew Yang,,"It's not just you. Amazon alone is closing 30 percent of America's stores and malls, soaking up $20 billion in business while paying zero in taxes. These are the problems that got Donald Trump elected, the fourth industrial revolution. And that is going to accelerate and grow more serious regardless of who is in the Oval Office.",Candidate,male,4,1,57,Donald Trump;,Amazon;,America;,,,,0.05555555555555556
4465,Andrew Yang,,"The fact is, Donald Trump, when we're talking about him, we are losing. We need to present a new vision, and that even includes talking about impeaching Donald Trump.",Candidate,male,4,1,58,Donald Trump;Donald Trump;,,,,,,0.06818181818181818
4467,Beto O'Rourke,,"You know, I think about everyone who's ever served this country in uniform. We have two examples here on this stage tonight in Mayor Buttigieg and Congresswoman Gabbard, those who have willingly sacrificed their lives to defend this country and our Constitution. We are the inheritors of their service and their sacrifice.",Candidate,male,4,1,60,Gabbard;Buttigieg;,,,,Constitution;,,0.25
